date,venue,city,country,lat,long,tour,songs
2024-10-05,Ferguson Center for the Arts,Newport News,US,36.9787588,-76.428003,,"['Start Me Up', '19th Nervous Breakdown', ""Can't You Hear Me Knocking"", 'Miss You', 'Gimme Shelter', 'The Last Time', ""Ain't Too Proud to Beg"", 'Under My Thumb', 'Honky Tonk Women', ""Jumpin' Jack Flash"", 'Beast of Burden', 'Paint It Black', 'Sympathy for the Devil', 'Tumbling Dice', 'Happy', 'Brown Sugar', ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]"
2024-09-14,Her Majesty's Theatre,Adelaide,AU,-34.9333333,138.6,,['Brown Sugar']
2024-08-10,State Theatre,Sydney,AU,-33.8678499639382,151.207323074341,,"['Brown Sugar', 'Sway', 'Wild Horses', ""Can't You Hear Me Knocking"", 'You Gotta Move', 'Bitch', 'I Got the Blues', 'Sister Morphine', 'Dead Flowers', 'Moonlight Mile', 'Start Me Up', 'Honky Tonk Women', 'Waiting on a Friend', 'Get Off of My Cloud', 'Paint It Black', 'Midnight Rambler', 'Beast of Burden', 'Miss You', ""It's Only Rock 'n' Roll (but I Like It)"", 'Sympathy for the Devil', 'Gimme Shelter', ""Jumpin' Jack Flash"", ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]"
2024-08-09,Llewellyn Hall,Canberra,AU,-35.2834624726481,149.128074645996,,"['Brown Sugar', 'Sway', 'Wild Horses', ""Can't You Hear Me Knocking"", 'You Gotta Move', 'Bitch', 'I Got the Blues', 'Sister Morphine', 'Dead Flowers', 'Moonlight Mile', 'Start Me Up', 'Honky Tonk Women', 'Waiting on a Friend', 'Get Off of My Cloud', 'Paint It Black', 'Midnight Rambler', 'Tumbling Dice', 'Beast of Burden', 'Miss You', ""It's Only Rock 'n' Roll (but I Like It)"", 'Sympathy for the Devil', 'Gimme Shelter', ""Jumpin' Jack Flash"", ""You Can't Always Get What You Want"", ""(I Can't Get No) Satisfaction""]"
2024-07-21,Thunder Ridge Nature Arena,Ridgedale,US,36.50395,-93.22379,Hackney Diamonds,"['Start Me Up', 'Get Off of My Cloud', 'Tumbling Dice', 'Angry', 'Let It Bleed', 'Street Fighting Man', 'Whole Wide World', 'Mess It Up', ""You Can't Always Get What You Want"", 'You Got the Silver', 'Little T&A', 'Before They Make Me Run', 'Sympathy for the Devil', 'Honky Tonk Women', 'Midnight Rambler', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction""]"
2024-07-17,Levi's Stadium,Santa Clara,US,37.354108,-121.9552356,Hackney Diamonds,"['Start Me Up', 'Get Off of My Cloud', 'Tumbling Dice', 'Angry', 'Far Away Eyes', 'Like a Rolling Stone', 'Bite My Head Off', 'Mess It Up', ""You Can't Always Get What You Want"", 'You Got the Silver', 'Little T&A', 'Before They Make Me Run', 'Sympathy for the Devil', 'Honky Tonk Women', 'Midnight Rambler', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction""]"
2024-07-13,SoFi Stadium,Inglewood,US,33.9616801,-118.3531311,Hackney Diamonds,"['Start Me Up', 'Get Off of My Cloud', 'Tumbling Dice', 'Angry', 'Doo Doo Doo Doo Doo (Heartbreaker)', 'Fool to Cry', 'Whole Wide World', 'Monkey Man', ""You Can't Always Get What You Want"", 'You Got the Silver', 'Little T&A', 'Before They Make Me Run', 'Sympathy for the Devil', 'Honky Tonk Women', 'Miss You', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction""]"
2024-07-10,SoFi Stadium,Inglewood,US,33.9616801,-118.3531311,Hackney Diamonds,"['Start Me Up', 'You Got Me Rocking', ""It's Only Rock 'n' Roll (but I Like It)"", 'Angry', 'Beast of Burden', 'Wild Horses', 'Mess It Up', 'Tumbling Dice', ""You Can't Always Get What You Want"", 'Tell Me Straight', 'Little T&A', 'Before They Make Me Run', 'Sympathy for the Devil', 'Honky Tonk Women', 'Midnight Rambler', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction""]"
2024-07-05,BC Place Stadium,Vancouver,CA,49.249657393,-123.119340403,Hackney Diamonds,"['Start Me Up', ""Let's Spend the Night Together"", 'Bitch', 'Angry', 'Street Fighting Man', 'Wild Horses', 'Mess It Up', 'Tumbling Dice', ""You Can't Always Get What You Want"", 'Tell Me Straight', 'Little T&A', 'Before They Make Me Run', 'Sympathy for the Devil', 'Honky Tonk Women', 'Midnight Rambler', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction""]"
2024-06-30,Soldier Field,Chicago,US,41.850033,-87.6500523,Hackney Diamonds,"['Start Me Up', ""Let's Spend the Night Together"", 'Rocks Off', 'Angry', 'Shattered', 'Dead Flowers', 'Whole Wide World', 'Tumbling Dice', ""You Can't Always Get What You Want"", 'Tell Me Straight', 'Little T&A', 'Before They Make Me Run', 'Sympathy for the Devil', 'Honky Tonk Women', 'Miss You', 'Gimme Shelter', 'Paint It Black', ""Jumpin' Jack Flash"", 'Sweet Sounds of Heaven', ""(I Can't Get No) Satisfaction""]"
